,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
R_p,1.363,0.022,1.326,1.384,0.0,0.0,9966.0,9875.0,
T_iso,1082.816,201.785,749.06,1487.334,2.006,1.603,10185.0,10077.0,
cld_Q0,29.496,18.752,0.243,60.991,0.189,0.086,9779.0,9971.0,
cld_a,4.848,1.123,3.011,6.543,0.011,0.005,10144.0,9755.0,
f_cloud,0.289,0.196,0.004,0.621,0.002,0.001,9818.0,10167.0,
log_10_cld_r,-0.411,1.433,-2.557,1.999,0.014,0.006,10037.0,9875.0,
log_10_f_H2O,-5.214,0.264,-5.714,-4.745,0.003,0.002,9822.0,9525.0,
log_10_f_K,-8.234,0.403,-8.998,-7.618,0.004,0.002,9850.0,9989.0,
log_10_f_Na,-6.96,0.386,-7.652,-6.301,0.004,0.002,10175.0,9761.0,
log_10_q_c,-3.78,3.021,-8.336,0.998,0.03,0.013,10021.0,10131.0,
log_g,3.305,0.106,3.124,3.514,0.001,0.001,9345.0,9436.0,
